concept|relations|other_type|text
복구 담당자의 상태 점검표 갱신|part_of,process,role||서비스 노드의 오류율이 정상 범위로 돌아온 뒤, 복구 담당자의 상태 점검표 갱신은 장애 대응 과정의 마지막 단계로서 복구 담당자가 서비스 상태와 재발 여부를 점검표에 기록하는 절차다. 점검 결과가 빠지면 자동 복귀를 완료로 처리하지 않아 같은 장애의 재발을 막는다.
오류 로그 기반 요청 대기열 임시 차단 분류|process,classification,attribute||요청 대기열 길이가 늘고 오류 로그에 시간 초과가 반복될 때, 오류 로그 기반 요청 대기열 임시 차단 분류는 운영자가 차단이 필요한 대기열과 계속 처리할 대기열을 분류하는 과정이다. 대기열 길이와 오류 비율이 회복되기 전에는 차단을 풀지 않아 오류 확산을 막는다.
캐시 경보 누적에 따른 배포 승인 보류|process,state,function||캐시 적중률이 떨어지고 오래된 응답 비율이 계속 늘 때, 캐시 경보 누적에 따른 배포 승인 보류는 캐시 감시기가 반복 경보를 모아 배포 담당자에게 전달하는 과정과 그 보류 상태를 말한다. 경보가 해소되기 전에는 새 배포를 승인하지 않아 장애 원인과 배포 영향이 섞이는 것을 막는다.
장애 통보 시 트래픽 분배기 백업 경로 대조|process,role,comparison||장애 통보가 들어온 뒤 트래픽 분배기가 백업 저장소로 보낸 요청 수와 복제 지연이 다르게 나타날 때, 장애 통보 시 트래픽 분배기 백업 경로 대조에서 장애 대응 담당자는 두 기록의 시각과 수치를 비교한다. 복제 지연이 확인되기 전에는 백업 경로로 전환하지 않아 최신 데이터 누락을 막는다.
자동 확장 뒤 서비스 노드 복구 상태 확인|part_of,state,attribute||자동 확장기가 서비스 노드를 추가한 뒤 새 노드의 오류율과 CPU 사용률이 함께 보고될 때, 자동 확장 뒤 서비스 노드 복구 상태 확인은 장애 복구 과정의 일부로서 운영자가 두 수치를 확인하는 상태 점검이다. 오류율이 남아 있으면 노드를 정상 경로에 넣지 않아 요청 실패 확산을 막는다.
트래픽 분배기 상태 점검 승인 절차|process,role,state||트래픽 분배기의 연결 오류가 늘어 상태 점검표가 생성될 때, 트래픽 분배기 상태 점검 승인 절차는 운영자가 점검표의 오류 수와 대상 노드를 확인한 뒤 경로 변경을 승인하는 과정이다. 승인이 나기 전에는 새 노드로 요청을 보내지 않아 장애 구간 확대를 막는다.
서비스 노드 증설 승인 절차|part_of,process,role||서비스 노드의 CPU 사용률이 계속 높아 자동 확장기가 증설을 제안할 때, 서비스 노드 증설 승인 절차는 장애 복구 과정의 일부로서 복구 담당자가 남은 용량과 오류율을 확인해 증설을 승인하는 과정이다. 승인 없이 노드를 늘리지 않아 불필요한 비용과 설정 충돌을 막는다.
장애 통보 뒤 백업 저장소 우회 승인 분류|process,classification,attribute||장애 통보 뒤 백업 저장소의 복제 지연과 서비스 오류율이 함께 올라갈 때, 장애 통보 뒤 백업 저장소 우회 승인 분류는 운영자가 즉시 우회할 서비스와 복제 완료를 기다릴 서비스를 분류하는 과정이다. 복제 지연이 큰 서비스는 우회를 보류해 최신 데이터 손실을 막는다.
배포 승인 뒤 캐시 계층 확장 보류 해제|process,state,function||배포 승인이 끝난 뒤 캐시 대기열 길이와 자동 확장기의 처리 가능 용량이 정상 범위로 돌아올 때, 배포 승인 뒤 캐시 계층 확장 보류 해제는 캐시 계층의 확장 기능을 다시 켜는 과정과 그 상태 변화를 말한다. 두 수치가 확인되기 전에는 보류를 해제하지 않아 캐시 부하 급증을 막는다.
오류 로그와 대기열 부하의 교대 대조|process,role,comparison||새벽 교대 때 오류 로그의 시간 초과 수와 요청 대기열 길이, 부하 계측기의 CPU 사용률이 함께 변할 때, 오류 로그와 대기열 부하의 교대 대조는 교대 담당자가 세 기록의 시각과 수치를 비교하는 과정이다. 수치가 서로 맞지 않으면 대기열 제한을 해제하지 않아 오류 재발을 막는다.
