# TinyLM 체크포인트 판정 (cleanup_ckpt.py 의 유일한 진실 원천)
#
# ★규약 (experiments.tsv 와 같은 구조. 2026-08-19 사용자 지시로 TSV 화)
#   1. `run_cleanup_checkpoints.bat` 은 이 파일에서 **delete 로 판정된 것만** 후보로 삼는다.
#   2. **여기 없는 파일은 절대 안 지운다**(화이트리스트 방식). 새 체크포인트는 기본이 `hold` 다.
#   3. ★**살아 있는 실험이 참조하는 것은 `keep`** 이고, why 열에 **어느 실험이 쓰는지** 적는다.
#      그게 없으면 다음 세션이 "왜 남겼는지" 를 모르고 지운다.
#   4. 열은 TAB 구분. `#` 로 시작하는 줄은 주석.
#   5. 판정을 바꾸려면 **이 파일만** 고친다. 배치·스크립트는 안 고친다.
#   ★6. (2026-08-20 신설) **`_best` 를 파일명만 보고 delete 로 적지 않는다.**
#      denseb_best 사고 — 규칙을 *역할* 이 아니라 *이름* 에 걸어서 부모 계보의 유일본이
#      삭제 후보가 됐다. 기계 방어 3중(cleanup_ckpt.py G1 파생보호 / G2 판정일관성 /
#      G3 부모계보 정규식)을 넣었지만, **새 best 의 기본 판정은 `hold`** 로 적는다.
#
# verdict : keep=영구 보존 / hold=미판정(안 지움) / delete=삭제 후보
# file    : runs/ckpt/ 아래 파일명
# mb      : 실측 크기(MB)
# why     : ★왜 이 판정인가. keep 이면 **어느 실험이 쓰는가**
#
verdict	file	mb	why
keep	m100R1c_ko-en_300M_mC_ct.pt	726.9	압축 교사(037). REVIEW2 가 KD 를 유지하면 표준 교사 후보
keep	m100R1c_ko-en_300M_mC_e128svd.pt	677.8	임베딩 에너지-대가 법칙의 두 점 중 하나(030 §10.3.1)
keep	m100R1c_ko-en_300M_mC_e192svd.pt	702.4	P046 단계3 산출물(030 §10). int8 상주 후속 측정 예정
keep	m100R1c_ko-en_300M_mC_g16.pt	672.9	레버표 정본(029). P045 단계2 가 비교했다
keep	m100R1c_ko-en_300M_mC_g16_nokd.pt	672.9	★레버×KD 상호작용 증거(029 §6). 무KD 레버표의 유일한 점
keep	m100R1c_ko-en_300M_mC_g16_s2.pt	672.9	구 판정 문서 승계(20260813)
keep	m100R1c_ko-en_300M_mC_g256a.pt	726.9	α그룹 축 종결 근거(036)
keep	m100R1c_ko-en_300M_mC_initonly.pt	726.9	무KD 기준선. REVIEW2 가 KD 를 빼면 새 대조군이 된다(038 §9)
keep	m100R1c_ko-en_300M_mC_initonly_s2.pt	726.9	무KD 시드 반복. σ 표의 유일한 표본(038 §9)
keep	m100R1c_ko-en_300M_mC_kdonly.pt	726.9	구 판정 문서 승계(20260813)
keep	m100R1c_ko-en_300M_mC_optbf16.pt	484.7	구 판정 문서 승계(20260813)
keep	m100R1c_ko-en_300M_mC_r20.pt	726.9	★P062 단계0/0b 가 쓴다. 재귀 축의 유일한 학습 산출물
keep	m100R1c_ko-en_300M_mC_solo.pt	726.9	구 판정 문서 승계(20260813)
keep	m100R1c_ko-en_300M_mC_wsd.pt	726.9	공용 대조군. 모든 메모리 레버가 이것과 비교된다(기준표 §2.2c)
keep	m100R1c_ko-en_300M_mC_wsd_s2.pt	726.9	σ 측정(039). 시드 반복의 정본
keep	m100R1d_ko-en_300M_mC_d36.pt	970.7	★P057 단계1 의 비교 대상(044 §8). 깊이 축의 유일한 산출물
keep	m100R1d_ko-en_300M_mC_d36_ag2.pt	754.6	★P057 단계1 산출물. 채택선 통과(044 §8)
keep	m100R1p_ko-en_300M_mC_p1c1.pt	588.5	효율선(032)
keep	m100R1q_ko-en_300M_mC_p1c1g16.pt	534.5	효율선 볼록성(032 §8)
keep	m100_ko-en_300M_dense.pt	1516.8	정본 교사. --init-from / --kd 가 전부 이것을 읽는다
keep	m100_ko-en_300M_mA_g4s34_k4.pt	834.9	구 판정 문서 승계(20260813)
keep	m100_ko-en_300M_p12d.pt	1516.8	구 판정 문서 승계(20260813)
keep	m100_ko-en_300M_p6d.pt	1516.8	구 판정 문서 승계(20260813)
keep	m100_ko-en_300M_p6d_s2.pt	1516.8	구 판정 문서 승계(20260813)
keep	m100_ko-en_600M_p6d.pt	1516.8	구 판정 문서 승계(20260813)
hold	m100R1a_ko-en_300M_mA_wsd.pt	834.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_denseb.pt	1516.8	미판정 — 사람이 판정할 때까지 안 건드린다
hold	m100_ko-en_300M_mB_g8s34_k4.pt	726.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_mC_g8_k4.pt	726.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_p6t.pt	726.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_p6tk.pt	969.2	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_t_g8.pt	726.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_t_kd_g16.pt	672.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_t_kd_g4_s34.pt	834.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_t_kd_g8.pt	726.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_t_kd_g8_dyn4.pt	726.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_t_kd_g8_k2.pt	726.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_t_kd_g8_k4.pt	726.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_t_kd_g8_s34.pt	726.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_300M_t_kdinit.pt	834.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_600M_p6t.pt	726.9	구 판정 문서 승계(20260813)
hold	m100_ko-en_600M_p6tk.pt	969.2	구 판정 문서 승계(20260813)
delete	m100R1c_ko-en_300M_mC_e192svd_best.pt	702.4	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	m100R1c_ko-en_300M_mC_g16_nokd_best.pt	672.9	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	m100R1c_ko-en_300M_mC_gqa_off250.pt	726.9	250스텝 벤치. 기준표 §2.3 품질 판정 금지. 수치는 결과문서에 있다
delete	m100R1c_ko-en_300M_mC_gqa_off250_best.pt	726.9	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	m100R1c_ko-en_300M_mC_gqa_on250.pt	726.9	250스텝 벤치. 기준표 §2.3 품질 판정 금지. 수치는 결과문서에 있다
delete	m100R1c_ko-en_300M_mC_gqa_on250_best.pt	726.9	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	m100R1c_ko-en_300M_mC_kdc_1024_250.pt	726.9	250스텝 벤치. 기준표 §2.3 품질 판정 금지. 수치는 결과문서에 있다
delete	m100R1c_ko-en_300M_mC_kdc_1024_250_best.pt	726.9	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	m100R1c_ko-en_300M_mC_kdc_2048_250.pt	726.9	250스텝 벤치. 기준표 §2.3 품질 판정 금지. 수치는 결과문서에 있다
delete	m100R1c_ko-en_300M_mC_kdc_2048_250_best.pt	726.9	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	m100R1c_ko-en_300M_mC_kdc_off250.pt	726.9	250스텝 벤치. 기준표 §2.3 품질 판정 금지. 수치는 결과문서에 있다
delete	m100R1c_ko-en_300M_mC_kdc_off250_best.pt	726.9	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	m100R1c_ko-en_300M_mC_r20_best.pt	726.9	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	m100R1d_ko-en_300M_mC_d36_ag2_best.pt	754.6	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	m100R1d_ko-en_300M_mC_d36_best.pt	970.7	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
hold	m100_ko-en_300M_denseb_best.pt	1516.8	dense_best 삭제 이후 재생성본(denseb)의 best. P054 확인바라며, 사고재발 방지할 것.
delete	tiny_synthetic_2M_dense.pt	62.6	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_dense_best.pt	62.6	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	tiny_synthetic_2M_sm_ag.pt	49.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_ag_best.pt	49.5	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	tiny_synthetic_2M_sm_base.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_base_best.pt	52.5	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	tiny_synthetic_2M_sm_kd.pt	48.0	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_kd_best.pt	48.0	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	tiny_synthetic_2M_sm_nockpt.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_nockpt_best.pt	52.5	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	tiny_synthetic_2M_sm_s34.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_s34_best.pt	52.5	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	tiny_synthetic_2M_sm_sched.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_sched_best.pt	52.5	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	tiny_synthetic_2M_sm_seed.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_seed_best.pt	52.5	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
delete	tiny_synthetic_2M_sm_split.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_split_best.pt	52.5	best 는 하향 편향이라 판정에 안 쓴다(015). paired_eval 은 final 만 읽는다
keep	m100R1c_ko-en_300M_mC_a01.pt	726.9	★P055 단계1 α=0.1 팔. KD 단조성 5점의 하나(042 §12) — 곡선은 점 하나가 빠지면 못 그린다
keep	m100R1c_ko-en_300M_mC_a03.pt	726.9	★P055 단계1 α=0.3 팔. 동
keep	m100R1c_ko-en_300M_mC_a07.pt	726.9	★P055 단계1 α=0.7 팔. 동. grad_max 1.3460 의 유일한 표본
keep	m100R1d_ko-en_300M_mC_d36_ag4.pt	619.6	★★상주 379.7MB(기준선 −15.9%). REVIEW2 모델안 1순위 후보(044 §9)
hold	m100R1c_ko-en_300M_mC_a01_best.pt	726.9	미판정 — 본체가 keep 인 실험 산출물. 사람이 판정할 때까지 안 건드린다
hold	m100R1c_ko-en_300M_mC_a03_best.pt	726.9	미판정 — 동
hold	m100R1c_ko-en_300M_mC_a07_best.pt	726.9	미판정 — 동
hold	m100R1d_ko-en_300M_mC_d36_ag4_best.pt	619.6	미판정 — 모델안 후보의 best. ★2026-08-20 denseb_best 사고 이후 best 는 기본이 hold 다

# ────────────────────────────────────────────────────────────────────────
# ★2026-08-26 추가 (사용자 지시 11) — 디스크에 있는데 표에 없던 84개를 전수 판정했다.
#   🚫**표에 없으면 기본 hold 라 안 지워지지만, why 가 없으면 다음 세션이 '왜 남겼는지'
#      를 모른다**(규약 3). 특히 ★**표준모델 `mC_d36_ag4_nokd` 가 표에 없었다.**
# ────────────────────────────────────────────────────────────────────────
keep	m100R1d_ko-en_300M_mC_d36_ag4_nokd.pt	619.6	★★표준모델(B.6). REVIEW3 안 B 의 기준점이고 P073 단계2·P074 가 대조군으로 쓴다
keep	m100R1c_ko-en_300M_mC_cla1.pt	760.7	★P073 단계2 의 대조군(ag1/cla1). 결과 058
keep	m100R1d_ko-en_300M_mC_d36_ag4_cla1.pt	626.3	★P073 단계2 가 ag4-ag8 가격을 여기서 뺀다. 결과 058 §11
keep	m100R1d_ko-en_300M_mC_d36_ag8_nokd.pt	552.1	★P073 단계2 의 cla2 쪽 짝. 결과 044 §11
keep	m100R1c_ko-en_300M_QT0.pt	1076.1	★★P067 단계1d(재판정)가 읽는다. common_bpb 가 OOM 으로 못 끝냈다
keep	m100R1c_ko-en_300M_Q256T.pt	1076.1	★★P067 단계1d(재판정)가 읽는다. 7.8시간짜리 런이다
keep	m100R1c_ko-en_300M_Q64T.pt	740.5	★★P067 단계1d(재판정)가 읽는다. 8.1시간짜리 런이다
keep	m100R1c_ko-en_300M_mC_r20_nokd.pt	726.9	★P062 단계4(R=3)의 대조군이고 P072 층지도 4모델 중 하나
keep	m100R1d_ko-en_300M_mC_d36_ag4_r20_nokd.pt	619.6	★REVIEW3 안 B 의 재귀 항 실측본. 결과 047 §11
keep	m100_ko-en_300M_dense2.pt	1516.8	★부모 계보. P054 안 C 가 이것으로 mC_init2 를 만들었다(결과 040)
keep	m100R1c_ko-en_300M_mC_e192_nokd.pt	702.4	★E 곡선의 무KD 점. 결과 030 §11 이 세 점으로 볼록성을 보였다
keep	m100R1c_ko-en_300M_mC_e128_nokd.pt	677.8	★E 곡선의 무KD 점. 위와 같은 표
keep	m100R1d_ko-en_300M_mC_d36_ag4_g32.pt	565.6	★타잉 상한 실측(결과 029 §11). 볼록성 반증의 근거점
keep	m100R1d_ko-en_300M_mC_d36_ag16_nokd.pt	518.3	★어텐션 곡선 3점 중 하나. 결과 044 §11
keep	m100R1d_ko-en_300M_mC_d36_ag4_e128.pt	570.5	★임베딩 랭크 x 깊이 교차점. 결과 030 §11
delete	m100R1c_ko-en_300M_pq_q3_mb2.pt	1076.1	250스텝 프로브. 기준표 §2.3 품질 판정 금지. 수치는 결과 053 에 있다
delete	m100R1c_ko-en_300M_pq_q3_mb2_best.pt	1076.1	250스텝 프로브. 기준표 §2.3 품질 판정 금지. 수치는 결과 053 에 있다
delete	m100R1c_ko-en_300M_mC_ck250.pt	726.9	250스텝 프로브. 수치는 결과문서에 있다
delete	m100R1c_ko-en_300M_mC_ck250_best.pt	726.9	250스텝 프로브. 수치는 결과문서에 있다
delete	m100R1c_ko-en_300M_mC_nock250.pt	726.9	250스텝 프로브. 수치는 결과문서에 있다
delete	m100R1c_ko-en_300M_mC_nock250_best.pt	726.9	250스텝 프로브. 수치는 결과문서에 있다
delete	m100R1c_ko-en_300M_pb_r20_ckpt.pt	726.9	250스텝 프로브. 수치는 결과문서에 있다
delete	m100R1c_ko-en_300M_pb_r20_ckpt_best.pt	726.9	250스텝 프로브. 수치는 결과문서에 있다
delete	m100R1d_ko-en_300M_pb_d36_ckpt_cc.pt	619.6	250스텝 프로브. 수치는 결과문서에 있다
delete	m100R1d_ko-en_300M_pb_d36_ckpt_cc_best.pt	619.6	250스텝 프로브. 수치는 결과문서에 있다
delete	tiny_synthetic_2M_ce_c0.pt	52.5	P071 청킹 등가성 팔(tiny). ✅종결 = 결과 054. 배치가 매번 재생성한다
delete	tiny_synthetic_2M_ce_c0_best.pt	52.5	P071 청킹 등가성 팔(tiny). ✅종결 = 결과 054. 배치가 매번 재생성한다
delete	tiny_synthetic_2M_ce_c16.pt	52.5	P071 청킹 등가성 팔(tiny). ✅종결 = 결과 054. 배치가 매번 재생성한다
delete	tiny_synthetic_2M_ce_c16_best.pt	52.5	P071 청킹 등가성 팔(tiny). ✅종결 = 결과 054. 배치가 매번 재생성한다
delete	tiny_synthetic_2M_ce_c64.pt	52.5	P071 청킹 등가성 팔(tiny). ✅종결 = 결과 054. 배치가 매번 재생성한다
delete	tiny_synthetic_2M_ce_c64_best.pt	52.5	P071 청킹 등가성 팔(tiny). ✅종결 = 결과 054. 배치가 매번 재생성한다
delete	tiny_synthetic_2M_kd_c0.pt	52.5	P071 청킹 등가성 팔(tiny). ✅종결 = 결과 054. 배치가 매번 재생성한다
delete	tiny_synthetic_2M_kd_c0_best.pt	52.5	P071 청킹 등가성 팔(tiny). ✅종결 = 결과 054. 배치가 매번 재생성한다
delete	tiny_synthetic_2M_kd_c64.pt	52.5	P071 청킹 등가성 팔(tiny). ✅종결 = 결과 054. 배치가 매번 재생성한다
delete	tiny_synthetic_2M_kd_c64_best.pt	52.5	P071 청킹 등가성 팔(tiny). ✅종결 = 결과 054. 배치가 매번 재생성한다
delete	tiny_synthetic_2M_sm_cechunk.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_cechunk_best.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_cla1.pt	53.6	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_cla1_best.pt	53.6	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_inplace.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_inplace_best.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_reuseattn.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_reuseattn_best.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_wqbf16.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
delete	tiny_synthetic_2M_sm_wqbf16_best.pt	52.5	스모크. run_smoke_check.bat 이 매번 재생성한다
hold	m100R1c_ko-en_300M_Q256T_best.pt	1076.1	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_Q64T_best.pt	740.5	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_QT0_best.pt	1076.1	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_cla1_best.pt	760.7	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_e128_nokd_best.pt	677.8	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_e192_nokd_best.pt	702.4	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_init2.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_init2_best.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_mg256_nokd.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_mg256_nokd_best.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_r20_nokd_best.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_r20in_nokd.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_r20in_nokd_best.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_r20ra_nokd.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_r20ra_nokd_best.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_sp12_4.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_sp12_4_best.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_sp2_14.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_sp2_14_best.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_sp4_12.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_sp4_12_best.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_std2b.pt	484.7	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_std2b_best.pt	484.7	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_wqbf16.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1c_ko-en_300M_mC_wqbf16_best.pt	726.9	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1d_ko-en_300M_mC_d36_ag16_nokd_best.pt	518.3	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1d_ko-en_300M_mC_d36_ag4_cla1_best.pt	626.3	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1d_ko-en_300M_mC_d36_ag4_e128_best.pt	570.5	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1d_ko-en_300M_mC_d36_ag4_g32_best.pt	565.6	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1d_ko-en_300M_mC_d36_ag4_nokd_best.pt	619.6	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1d_ko-en_300M_mC_d36_ag4_r20_nokd_best.pt	619.6	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100R1d_ko-en_300M_mC_d36_ag8_nokd_best.pt	552.1	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100_ko-en_300M_dense2_best.pt	1516.8	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100_ko-en_300M_dnc_r1.pt	1516.8	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100_ko-en_300M_dnc_r1_best.pt	1516.8	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100_ko-en_300M_dnc_r2.pt	1516.8	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100_ko-en_300M_dnc_r2_best.pt	1516.8	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100_ko-en_300M_dnc_r3.pt	1516.8	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
hold	m100_ko-en_300M_dnc_r3_best.pt	1516.8	⏸미판정. 재현 가치가 남아 있는지 사람이 정한다(규약 2: 여기 없으면 안 지운다)
# ★2026-09-04 자동 판정 135행 (scripts/ckpt_audit.py) — 규칙은 tiny_* 와 steps<500 둘뿐이고 나머지는 hold 다
hold	m100_ko-en_300M_d20_dense.pt	1516.8	2289스텝 full-train - 축이 닫혔는지는 기계가 모른다. 사람이 판정
hold	m100_ko-en_300M_d20_dense_best.pt	1516.8	2289스텝 full-train - 축이 닫혔는지는 기계가 모른다. 사람이 판정
hold	m100_ko-en_300M_eq_t20_ag4.pt	666.2	2289스텝 full-train - 축이 닫혔는지는 기계가 모른다. 사람이 판정
hold	m100_ko-en_300M_eq_t20_ag4_best.pt	666.2	2289스텝 full-train - 축이 닫혔는지는 기계가 모른다. 사람이 판정
hold	m100R1c_ko-en_300M_eq_t20_ag8.pt	524.4	2289스텝 full-train - 축이 닫혔는지는 기계가 모른다. 사람이 판정
hold	m100R1c_ko-en_300M_eq_t20_ag8_best.pt	524.4	2289스텝 full-train - 축이 닫혔는지는 기계가 모른다. 사람이 판정
hold	m100R1c_ko-en_300M_G270Tfull.pt	1398.9	2289스텝 full-train - 축이 닫혔는지는 기계가 모른다. 사람이 판정
hold	m100R1c_ko-en_300M_G270Tfull_best.pt	1398.9	2289스텝 full-train - 축이 닫혔는지는 기계가 모른다. 사람이 판정
